GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Less than 5 minutes,Margin of Error; Total: - Less than 5 minutes,Estimate; Total: - 5 to 9 minutes,Margin of Error; Total: - 5 to 9 minutes,Estimate; Total: - 10 to 14 minutes,Margin of Error; Total: - 10 to 14 minutes,Estimate; Total: - 15 to 19 minutes,Margin of Error; Total: - 15 to 19 minutes,Estimate; Total: - 20 to 24 minutes,Margin of Error; Total: - 20 to 24 minutes,Estimate; Total: - 25 to 29 minutes,Margin of Error; Total: - 25 to 29 minutes,Estimate; Total: - 30 to 34 minutes,Margin of Error; Total: - 30 to 34 minutes,Estimate; Total: - 35 to 39 minutes,Margin of Error; Total: - 35 to 39 minutes,Estimate; Total: - 40 to 44 minutes,Margin of Error; Total: - 40 to 44 minutes,Estimate; Total: - 45 to 59 minutes,Margin of Error; Total: - 45 to 59 minutes,Estimate; Total: - 60 to 89 minutes,Margin of Error; Total: - 60 to 89 minutes,Estimate; Total: - 90 or more minutes,Margin of Error; Total: - 90 or more minutes
0400000US01,01,Alabama,1903495,13911,49518,3686,175581,6717,280541,8353,335099,8569,312009,8850,129767,6328,281291,9704,49640,3843,50993,3480,132099,6527,73855,4711,33102,2568
0400000US02,02,Alaska,352209,5422,28828,2332,67041,4595,69572,4326,65106,3675,48227,3775,11086,1811,24412,2634,3891,994,4013,935,13189,1903,9826,1452,7018,1082
0400000US04,04,Arizona,2642303,19809,71993,4434,263729,8157,360321,10380,416542,11284,406263,12297,186870,7879,399270,11426,78464,3917,110659,5383,202776,7629,105097,5496,40319,3184
0400000US05,05,Arkansas,1203581,13833,53146,3633,169551,7065,207696,8423,207251,8343,178141,6829,68714,4503,135502,6143,24546,2699,33223,2830,64266,3399,40841,3549,20704,2365
0400000US06,06,California,16324873,44244,326127,10994,1337528,21645,2099464,26200,2465426,30042,2355412,25061,976556,16844,2449745,29649,422617,11471,694413,12814,1384540,18570,1258316,19950,554729,11127
0400000US08,08,Colorado,2494655,14252,73840,4063,246855,7933,353380,10366,384697,9129,375971,9836,166240,6315,354632,9892,83216,4399,93877,5169,188657,6905,124997,6112,48293,3730
0400000US09,09,Connecticut,1669481,12943,48585,4094,163388,7801,255980,8441,270987,7642,265743,7901,113482,5602,210871,7508,47596,3429,61284,3851,113087,5320,84055,4705,34423,3427
0400000US10,10,Delaware,418179,8080,9137,1434,36719,2969,65227,4074,71635,4251,70975,4868,27047,2513,53827,3366,12129,1912,12944,1764,30455,3073,20993,2225,7091,1272
0400000US11,11,District of Columbia,804483,12230,6149,1480,17140,2208,29638,2349,51793,4057,73168,3942,41791,2671,135395,6411,40929,3569,57608,4432,141488,5754,151211,6971,58173,3926
0400000US12,12,Florida,8119626,34196,154987,6238,603082,13410,999771,19012,1268428,20729,1345154,20836,551441,15797,1339362,21189,259799,10361,330822,9381,687360,14609,422194,12351,157226,7175
0400000US13,13,Georgia,4198180,21639,92078,5643,332908,9410,562807,14698,656819,15653,606371,14019,257842,8582,585225,12997,131516,7025,159665,6987,402677,11212,295721,9681,114551,6369
0400000US15,15,Hawaii,655753,7890,19842,2190,54489,3378,84051,4210,87167,4817,90116,5562,32507,2733,112215,4898,17348,2409,25347,2286,63802,3970,49000,3792,19869,2333
0400000US16,16,Idaho,646921,10328,38852,3812,105232,5750,113647,5503,113228,6265,95853,4933,35251,3225,67069,4326,14731,2879,13401,1943,24597,2876,16982,2142,8078,1450
0400000US17,17,Illinois,5760499,26834,160581,6091,537587,11471,702829,14126,749791,14289,746531,12617,335814,9385,797469,13427,183265,6462,272786,8502,592840,12541,507441,11414,173565,5726
0400000US18,18,Indiana,2872136,17282,104802,5130,354188,10172,457460,10876,485224,9409,422845,12058,194173,7618,346618,8506,86400,4529,101423,5569,175097,7034,98936,4432,44970,3465
0400000US19,19,Iowa,1496763,10930,103101,4523,276696,8210,266042,6629,258583,8198,201944,5867,87226,4049,130253,4905,30898,2167,33679,2052,58269,3628,30826,2502,19246,1970
0400000US20,20,Kansas,1356192,12687,83771,3664,212966,7469,239690,7512,233782,6803,201324,7727,83321,4494,135092,5782,27312,2210,30749,2587,61742,3590,28335,2724,18108,1730
0400000US21,21,Kentucky,1843320,16592,71092,4961,212527,6981,274941,8598,318226,9204,283547,8892,123736,5490,235556,6892,50333,3409,57808,3772,115525,5264,66377,4006,33652,3198
0400000US22,22,Louisiana,1944676,15114,64575,4646,209690,7780,293972,9109,313729,9002,300440,9706,105128,5967,273638,11144,44659,3862,50060,4336,124618,6200,96041,6306,68126,3946
0400000US23,23,Maine,588798,7802,29388,2703,74669,4106,90860,4961,94981,4697,85029,4746,37093,3213,64946,4104,17350,1957,19931,1888,41073,3098,23231,2202,10247,1290
0400000US24,24,Maryland,2566158,16597,44099,3144,165971,6180,276230,8064,342183,8547,364749,10372,164827,6672,398827,10051,98433,5255,129316,6234,271106,7266,224156,8039,86261,5124
0400000US25,25,Massachusetts,3301079,22011,77799,5110,280641,8253,398236,9877,443908,10282,429736,11025,191899,6963,453201,9373,107349,4074,154129,6204,345713,8531,305949,8461,112519,4507
0400000US26,26,Michigan,4163414,21855,135496,5622,461034,10732,604762,10706,670735,11051,641223,10477,289160,7753,501957,10171,131873,4835,161039,5002,304235,8427,184941,5836,76959,3844
0400000US27,27,Minnesota,2676510,13996,104430,4816,319101,7853,394536,6824,416676,9323,390913,8556,192504,6259,334185,7774,84126,3691,101452,4232,187004,5735,108988,4402,42595,2833
0400000US28,28,Mississippi,1114900,12724,40558,3213,134632,5996,186838,7308,191230,7277,160841,6260,66797,4457,144265,7196,27748,3203,32896,3607,68820,4111,41028,2991,19247,2241
0400000US29,29,Missouri,2680420,15073,100268,5520,310247,8292,390661,11007,429055,9977,419992,9543,183974,6409,347746,9985,82423,4279,93621,5140,188565,6861,93056,4263,40812,3432
0400000US30,30,Montana,451268,5564,32001,2596,85567,3765,97012,4600,90578,4852,52757,3584,16887,1594,33382,2664,4886,1013,7373,1091,14371,1701,9117,1304,7337,1364
0400000US31,31,Nebraska,945851,7378,61815,3422,163402,5383,176595,6415,169654,5937,137212,5301,53374,2982,88543,4235,15510,1408,17914,1735,32403,2331,18430,1917,10999,1116
0400000US32,32,Nevada,1242626,11324,31552,3057,104612,5322,169801,7874,210079,8308,240804,7254,104287,6466,200846,7085,27373,2806,34180,3445,53801,4077,37905,3364,27386,2954
0400000US33,33,New Hampshire,609754,9358,25143,2698,76104,4686,83542,5160,90872,4359,82390,5012,41975,3130,78462,4018,20782,2039,26762,2692,45620,2775,25193,2345,12909,1921
0400000US34,34,New Jersey,3788421,21895,89763,4643,319199,11448,484004,9633,526803,11110,539908,13777,242938,6787,516021,12222,117485,5863,173428,7454,343224,9038,314444,10111,121204,6366
0400000US35,35,New Mexico,823518,10309,31272,3059,110995,6553,155959,6851,148290,6553,118604,5642,43870,4012,93268,5685,15181,1986,18640,2242,44032,4036,27073,2729,16334,2078
0400000US36,36,New York,9159602,32011,223877,7432,653764,13783,920891,15970,1042915,15557,1084312,17979,473626,11387,1274064,21681,269423,8483,476827,12857,1014542,16387,1137390,16330,587971,11115
0400000US37,37,North Carolina,4222716,23235,122577,6082,425965,11293,633771,13238,728093,13654,671136,14432,295540,9550,551481,12509,123437,6382,140706,7187,290828,8587,167482,6148,71700,4816
0400000US38,38,North Dakota,412070,5129,34837,2517,82612,4309,90322,3350,73264,4112,46743,3461,12487,1370,23114,2101,4315,896,5058,831,13229,1475,14968,1732,11121,1542
0400000US39,39,Ohio,5157449,23706,177572,7413,572143,13815,748318,11137,839847,16096,836024,14430,410255,9570,648506,10199,166487,5266,180994,6234,323039,9634,174643,6740,79621,4020
0400000US40,40,Oklahoma,1659430,10898,70496,4139,232015,6600,275707,7040,293112,6936,254714,5703,104845,4849,200759,5306,34135,2749,36368,2450,81530,3145,47388,3398,28361,2696
0400000US41,41,Oregon,1714879,13826,68921,5165,206648,8373,256992,9311,285762,8427,259965,7897,105868,5276,209810,8525,44525,3030,60056,4014,110187,5099,73591,4631,32554,3258
0400000US42,42,Pennsylvania,5639759,21853,190101,7398,568279,9932,785980,13554,836062,15185,809815,14443,365311,8694,724302,12603,177903,4997,239569,7414,476565,9308,329566,8609,136306,6278
0400000US44,44,Rhode Island,463474,8448,12544,1630,52787,3954,74448,4632,79806,4291,74618,4856,32728,3579,57617,3719,12371,1656,16828,1867,27356,2676,16286,2413,6085,1275
0400000US45,45,South Carolina,2010467,16740,62642,4413,196865,7900,295603,8617,340099,8329,329903,10900,137190,6985,278847,10184,58689,3612,60473,4717,137877,5915,76135,4843,36144,3284
0400000US46,46,South Dakota,411464,5179,36762,2581,85535,3865,84442,4331,73074,3938,51619,3381,19392,2174,27788,2019,4172,701,5792,921,10745,1264,8227,1181,3916,806
0400000US47,47,Tennessee,2803100,18886,75729,4310,263175,9326,400634,12142,447805,10461,448387,9319,196793,7908,404253,10215,85632,4757,95102,6035,217403,8293,120302,6243,47885,3521
0400000US48,48,Texas,11793571,36861,333496,9181,1146099,17801,1620230,25473,1881452,28013,1733877,22364,691434,17583,1747625,27064,315173,10690,409347,11405,993006,16348,673127,16471,248705,8931
0400000US49,49,Utah,1271953,9821,52774,3857,172613,6105,212338,7540,218566,7560,206278,6741,78033,3983,141476,5803,26760,2708,33437,2995,67088,3717,42621,3278,19969,1795
0400000US50,50,Vermont,293707,5792,14518,1491,39453,2579,46150,3689,45259,2356,41551,2915,22038,2032,35541,2589,7176,1102,8852,1317,17928,1599,10713,1575,4528,1069
0400000US51,51,Virginia,3787972,21159,83696,4511,313369,9195,471741,12574,589589,11187,579145,11336,256455,8628,516700,10347,124591,5693,155703,5964,324629,9090,250273,8716,122081,5434
0400000US53,53,Washington,3081499,17684,92035,4874,285899,8791,409312,12143,465300,11746,443580,12361,204333,7205,421662,11274,103217,4694,126654,5957,251493,7239,194810,6514,83204,4642
0400000US54,54,West Virginia,699801,9490,29410,3146,80855,4800,105308,4759,119381,6534,101675,4910,40235,3290,78983,4207,17839,2383,19799,2151,52112,3262,35064,2687,19140,1847
0400000US55,55,Wisconsin,2706822,12658,128043,5163,378873,7586,458614,8102,445440,8806,401132,8186,184572,5665,291383,6690,72039,3495,83748,4050,142568,4582,78829,4114,41581,2679
0400000US56,56,Wyoming,288893,4938,22658,2403,65903,4424,63482,3830,46326,3999,24456,3207,8150,1798,20284,2519,2754,864,3975,976,11110,1577,11583,2059,8212,1419
0400000US72,72,Puerto Rico,990949,12057,20079,2923,68677,4353,112925,5647,147622,7006,135485,5895,50635,3686,171211,7814,22052,2593,49313,4308,82826,5389,91527,5495,38597,3844
